name,pan_like_id,mobile,email,city,dob,source_customer_id,schemes_held,aum
Chakradev Toor,ITONG9411O,9928553595,cbobal@example.org,Morbi,1985-09-08,MF-0584,1,1592989
Daniel Borah,QCXSP8677E,2339449530,wpurohit@example.org,Khammam,1960-12-27,MF-0585,6,467042
Lohit Shankar,EQDDB5582S,0711523802,gargekansh@example.com,Nagaon,1985-11-03,MF-0588,4,1893154
Upasna Misra,LVHNH6902Y,4384196622,sainividhi@example.org,Ambarnath,1978-06-29,MF-0593,1,1528858
Lakshmi Barad,JZGWP1071J,8821764846,ilala@example.org,Thrissur,2003-11-07,MF-0604,8,857462
Lucky Edwin,SQJWJ8019Q,2256062953,varenyakonda@example.org,Katihar,1963-01-27,MF-0605,5,887292
Vyanjana Majumdar,QUOJT1307X,8520136260,urvashipau@example.com,Satara,1992-10-10,MF-0606,4,2614583
Chakradev Pathak,ZLOQE5491X,6411955640,lkakar@example.com,Motihari,1982-06-27,MF-0607,2,349200
Darpan Sood,KBKQA0204E,1212413936,cravi@example.net,Thrissur,1963-11-25,MF-0608,5,2078586
Advika Patel,SUZYO8434F,3885034236,robertmukherjee@example.com,South Dumdum,1972-04-19,MF-0616,3,647250
Champak Gade,BZVLC2894W,2332829302,nchokshi@example.org,Berhampur,1961-08-08,MF-0618,1,923735
Chandresh Raju,CJYRE5838O,5812259095,aachal82@example.org,Kulti,1988-03-25,MF-0621,8,1894560
Kalpit Chad,DGCPS1018W,9017074039,isha29@example.com,Kumbakonam,1965-02-14,MF-0622,6,1789226
Nathaniel Parmer,FZWIF9206J,0592294115,eeshamutti@example.net,Muzaffarpur,1979-10-25,MF-0625,4,2796723
Mitesh Rege,CBYEV2942Q,9808513313,udarsh21@example.net,Belgaum,1998-01-21,MF-0626,2,420781
Dakshesh Kanda,VSVKT6660A,0532853863,narainpraneel@example.com,Bettiah,2000-03-13,MF-0630,3,139836
Harsh Ganesan,ZIQLF9003E,3277264883,ekani85@example.org,Bhimavaram,1990-01-19,MF-0641,1,2263829
Hiral Dey,GUFXN5161F,1050805491,amruta73@example.com,Raurkela Industrial Township,1994-08-14,MF-0642,2,1203274
Raksha Wadhwa,WLTSZ4171K,3449305378,jeetwagle@example.org,Gwalior,1999-01-31,MF-0643,1,996478
Siya Bumb,HTQVZ7059G,3672868112,radha81@example.org,Phagwara,2004-01-09,MF-0648,4,160552
Jairaj Khosla,IIKET9103I,5136090858,manderfalak@example.org,Dewas,1969-12-20,MF-0650,4,2674612
Wriddhish Sura,YHGYS9255P,9028377270,aradhakrishnan@example.org,Kulti,1973-08-12,MF-0652,2,2897060
Ekapad Sachar,SDUON1019V,6405103880,lallaluke@example.com,Dhule,1979-03-19,MF-0653,2,547758
Sudiksha D’Alia,UYNBK8939A,6764909228,umadan@example.com,Patiala,1997-03-16,MF-0654,6,1860120
Sudiksha Deshpande,MBPBZ7174J,1640343988,upmasavant@example.net,Anand,1970-06-03,MF-0655,8,2364719
Urvi Ahuja,ADJOW7443T,2252160252,dharanay@example.net,Farrukhabad,1993-04-12,MF-0661,3,151171
Lipika Konda,LGRRO0009P,1137118151,forum82@example.net,Jalgaon,2003-06-09,MF-0667,4,2410869
Hiral Badami,DDMLO4610D,6600128382,gillsai@example.org,Coimbatore,1976-01-27,MF-0670,4,1593128
Advay Tank,XUWQT6653Y,4227634601,abhimanyupau@example.com,Tirupati,1982-04-11,MF-0671,5,2518810
Xiti Thakkar,RLZAI2188B,6405110212,fitan23@example.org,Rewa,1962-11-16,MF-0675,4,997248
Hardik Shukla,OWYJW8601W,8419478550,ooak@example.com,Jamshedpur,1961-08-18,MF-0677,2,2516580
Dayita Chana,HWRFA1050Q,7896157385,senwaida@example.com,Guntur,1970-12-09,MF-0682,6,366219
Manbir Seshadri,CCABQ2884I,7632713538,ishitadass@example.org,Dibrugarh,1997-05-31,MF-0685,7,1376486
Girish Lata,EDBIB2647E,7031637050,sathvikgoyal@example.com,South Dumdum,1971-10-20,MF-0689,4,874804
Krisha Kapur,RYCBP1729J,8390654025,ikbal93@example.net,Warangal,1980-12-18,MF-0690,5,861780
Wakeeta Gole,HYOWP8129D,9602667652,ishani39@example.com,Dharmavaram,1977-01-27,MF-0691,6,472529
Umang Ghose,NLAKP2533W,0255501935,nidhithaman@example.net,Dhule,1988-01-30,MF-0693,2,801891
Watika Ratti,TLXRK3177E,6294193759,meghanasekhon@example.org,Salem,1981-10-29,MF-0695,1,2644763
Nandini Dave,JQGOZ6475Q,1209617300,divya24@example.org,Rourkela,1991-08-30,MF-0696,6,1667718
