name,pan_like_id,mobile,email,city,dob,source_customer_id,holdings,portfolio_value
Rudra Kala,BYVNI0493A,7481242114,geetikaanand@example.net,Guntur,1967-03-29,EQU-0542,11,1838242
Rishi Peri,ZNTQK5610M,2970137124,jeevika64@example.org,Indore,1972-01-18,EQU-0543,8,2832630
Yashoda Basak,DDTOV6713F,4584743621,wgopal@example.net,Amroha,1979-05-17,EQU-0547,12,658924
Samarth Dara,QZXMM8053Z,7466621591,cbahl@example.org,Sambhal,1978-11-20,EQU-0548,7,308529
Ishaan Sehgal,BQIBN0142D,8782116020,keerkala@example.net,Siliguri,2000-02-14,EQU-0551,12,2934436
Pranit Gulati,MZFWP6914Q,2879429688,rbedi@example.org,Berhampur,1992-01-09,EQU-0553,13,4808795
Sneha Vaidya,AJJVG4217Y,2593648820,mugdha88@example.org,Junagadh,1966-09-07,EQU-0555,2,2152920
Megha Srinivasan,KEBBN2879E,4131935923,vaishnavireddy@example.org,Gaya,2003-10-19,EQU-0556,6,4125699
Falak Pradhan,ADBMP9067P,2489420466,fsankar@example.com,Khammam,1995-05-11,EQU-0560,4,2258172
Hiral Raju,WOKXQ8078G,4218385454,dalaja54@example.net,Sonipat,1993-03-08,EQU-0564,9,138849
Fiyaz Merchant,SDUPJ3561S,3198074682,rmutti@example.org,Delhi,1969-05-15,EQU-0570,15,1215750
Elijah Patla,LXDEK0596D,0932012657,lajitaaurora@example.com,Begusarai,1998-03-31,EQU-0573,7,2820126
Jalsa Nayak,FDSTF8517Q,7469211882,bdevi@example.com,Ujjain,1966-11-01,EQU-0574,8,4068320
Gaurika Vala,ZTQUU9170X,2185457056,jonathanperi@example.com,Ramgarh,1961-06-06,EQU-0575,3,519023
Abeer Subramaniam,PSWDF1058H,0927115261,kbera@example.org,Varanasi,1962-01-29,EQU-0577,14,2427789
Aayush Sule,YTJTU4189S,3298769893,arya71@example.com,Kottayam,2001-05-13,EQU-0578,11,4334942
Sara Hari,TIGMJ9834T,5364628055,chandresh65@example.com,Nagercoil,1964-02-27,EQU-0580,9,4280874
Om Bajwa,URSFR6953L,1227595002,indrajit53@example.net,Sri Ganganagar,2003-03-02,EQU-0582,7,3156951
Ria Nori,FGWCT0740M,7980595031,tarak40@example.org,Delhi,1972-11-03,EQU-0583,8,2000459
Akshay Doshi,COYIN1166A,5759887592,kmuni@example.com,Ahmednagar,2002-07-30,EQU-0587,6,3389754
Lohit Shankar,EQDDB5582S,0711523802,gargekansh@example.com,Nagaon,1985-11-03,EQU-0588,13,1407235
Aayush Pau,XHGBN9161I,5881959772,bediharinakshi@example.org,Deoghar,1994-04-27,EQU-0589,1,814106
Upasna Misra,LVHNH6902Y,4384196622,sainividhi@example.org,Ambarnath,1978-06-29,EQU-0593,4,52409
Omisha Ramaswamy,SZJFK7063G,5504944407,ranbir39@example.com,Bangalore,1973-12-08,EQU-0594,5,3400692
Sudiksha Ratti,XPBXK9453E,6698616342,kala08@example.net,Chapra,1975-03-31,EQU-0597,7,4296632
Edhitha More,AOQXD3079O,0081785221,jchanda@example.com,Sangli-Miraj & Kupwad,1969-11-01,EQU-0599,5,3764212
Chakradhar Parikh,BXUPH2781Q,0027221425,mbala@example.com,Chapra,1991-02-04,EQU-0601,2,3260095
Teerth Rao,CMHMY8172N,5286209297,indira33@example.org,Saharanpur,1988-10-16,EQU-0602,2,3396472
Utkarsh Gupta,ASXES8992S,5323661850,sharafchakradev@example.net,Pali,1987-05-08,EQU-0603,6,1883465
Chakradev Pathak,ZLOQE5491X,6411955640,lkakar@example.com,Motihari,1982-06-27,EQU-0607,11,4182772
Darpan Sood,KBKQA0204E,1212413936,cravi@example.net,Thrissur,1963-11-25,EQU-0608,6,2695908
Zehaan Rege,QBYDX7711A,6279955302,braroscar@example.org,Morbi,1968-02-22,EQU-0619,6,4750556
Tarak Madan,SDEZL2028Z,1722240507,echaudry@example.net,Pondicherry,1996-12-05,EQU-0620,4,4889000
Mitesh Rege,CBYEV2942Q,9808513313,udarsh21@example.net,Belgaum,1998-01-21,EQU-0626,3,3380659
Peter Thakkar,PUHUX7787V,6464196234,rajatadhillon@example.org,Nellore,1968-09-08,EQU-0628,5,1352535
Amaira Kota,MCAHD1927G,5969838457,xpuri@example.net,Deoghar,1977-07-20,EQU-0633,8,2632585
Dev Sarma,BJAJY9967M,4748599464,isaiah67@example.org,Berhampore,1983-06-21,EQU-0635,13,4051928
Lajita Master,SUAYM9804K,0521026270,badamipraneel@example.com,Secunderabad,1983-07-09,EQU-0636,13,2507212
Harsh Parekh,SGJQX3056K,7846790870,oeshibanerjee@example.org,Kurnool,1979-06-15,EQU-0638,13,2330569
Warinder Kale,FTEYT4704I,5593965213,sureshfinn@example.org,Thoothukudi,1992-09-11,EQU-0640,10,3848086
Falak Kara,GKGWB7801R,3446717762,mukherjeeudarsh@example.org,Bhavnagar,1986-06-29,EQU-0645,5,3341872
Samuel Rattan,NYWZI1587C,3589693353,ekanta61@example.com,Hospet,1989-12-03,EQU-0651,1,402265
Ekapad Sachar,SDUON1019V,6405103880,lallaluke@example.com,Dhule,1979-03-19,EQU-0653,11,1341161
Niharika Jayaraman,FTYJL2251S,4326118900,schaudhary@example.com,Dhanbad,1981-07-12,EQU-0658,12,1606374
Mohini Sen,CMVXY2020P,6219536890,bmunshi@example.org,Shimla,1971-05-06,EQU-0659,9,4223744
Tarak Shenoy,KKFGN1307I,9087167221,nikita17@example.org,Motihari,1996-03-05,EQU-0660,9,609351
Urvi Gole,RLAPO6903W,1327617948,jagrati98@example.com,Eluru,1962-04-07,EQU-0662,8,1657396
Hitesh Choudhry,KZBIZ5891W,9864786862,andraxiti@example.net,Bijapur,1980-09-15,EQU-0663,10,3309803
Yasti Kashyap,HKCFS7819N,1640069836,victor48@example.com,Gopalpur,1980-05-23,EQU-0664,8,559190
Aayush Aggarwal,FHQHZ8899Z,0916923273,ybasu@example.org,Dewas,1984-07-16,EQU-0666,4,4407758
Aayush Khatri,YDDMK7218D,1978999011,chamelisoman@example.org,Aligarh,1993-08-23,EQU-0676,2,2773714
Sachi Virk,MWDTO0727D,6160881972,ekrishnamurthy@example.com,Jorhat,1969-05-06,EQU-0678,15,2855063
Mitali Sodhi,EBNSH0675P,2150164261,rudrapatla@example.org,Sangli-Miraj & Kupwad,1973-01-17,EQU-0680,10,1304768
Isaiah Yohannan,ISGEO3924B,4169105302,usoni@example.com,Ramagundam,1978-06-04,EQU-0681,5,3357816
Widisha Toor,JYOCW1554Q,2360244654,balhaarparmar@example.org,Kota,1961-11-02,EQU-0683,5,763694
Niharika Balan,LROLD4886S,5340508927,narangshivani@example.com,Bangalore,1974-06-18,EQU-0686,7,3114087
Urvi Tella,WQKBE9775L,3842273627,parthdin@example.com,Aligarh,1994-02-22,EQU-0687,6,3759527
Jai Swamy,XSKNI1620X,4486983052,johalpraneel@example.org,Bokaro,1993-07-01,EQU-0688,10,1288805
Wakeeta Gole,HYOWP8129D,9602667652,ishani39@example.com,Dharmavaram,1977-01-27,EQU-0691,11,2325916
Umang Ghose,NLAKP2533W,0255501935,nidhithaman@example.net,Dhule,1988-01-30,EQU-0693,14,4509053
Reyansh Gaba,LBIAZ4362I,5983124412,maya59@example.net,Pimpri-Chinchwad,1965-10-27,EQU-0694,15,4491057
Nandini Dave,JQGOZ6475Q,1209617300,divya24@example.org,Rourkela,1991-08-30,EQU-0696,11,1201426
