name,pan_like_id,mobile,email,city,dob,source_customer_id,advisor_assigned,total_aum,risk_profile
Abdul Ram,LOVRL2604F,7112229907,vohrajyoti@example.net,Gurgaon,1981-06-23,WEA-0457,Rajata Sami,49908900,MODERATE
Nitesh Koshy,ADWBC6534U,0356793279,bhavnatank@example.org,Ghaziabad,1961-12-29,WEA-0460,Frado Dhingra,3219360,MODERATE
Ekiya Khatri,MVHRA9354R,9639243588,jacobmanne@example.net,Tiruppur,1986-12-14,WEA-0462,Qadim Taneja,43641630,CONSERVATIVE
Yatan Ramanathan,IVJQM7497E,1686013477,rissac@example.org,Unnao,1986-10-29,WEA-0463,Rajeshri Ram,2842171,MODERATE
Max Bajaj,KZYNI8953N,2199471136,oscarkannan@example.com,Delhi,1971-02-21,WEA-0465,Radhika Raju,2345690,AGGRESSIVE
Veer Rout,OFNDK4281P,4876230391,jeetshere@example.net,Mangalore,1967-05-10,WEA-0469,Yatan Anand,46930188,CONSERVATIVE
Onveer Magar,DZIKD8088E,2395947372,bhavsarkrishna@example.org,Tumkur,1980-11-28,WEA-0470,Megha Raval,35714984,CONSERVATIVE
Zinal Pandya,HAKGF9964I,3195419666,vidhi30@example.org,Siliguri,1980-06-06,WEA-0471,Chasmum Randhawa,28118586,AGGRESSIVE
Yoshita Bansal,JYVQT8981C,2231964630,robertsahota@example.net,Erode,1995-10-24,WEA-0474,Prisha Kumer,32593569,CONSERVATIVE
Aadi Bhatti,YEODK2047R,1175957498,zinalmallick@example.net,Kamarhati,1996-06-28,WEA-0475,Vasudha Magar,23523913,AGGRESSIVE
Yashodhara Mital,TZQGJ7609J,3372188566,finn32@example.net,Amritsar,1994-09-25,WEA-0476,Rajata Ravi,8904180,MODERATE
Mitesh Sachdeva,HTPFF7055Z,6634392529,chaudhurifitan@example.org,Jalgaon,1984-05-30,WEA-0477,George Doshi,39944153,AGGRESSIVE
Manthan Dubey,HJGCI0109J,4559376618,xbandi@example.org,Nellore,1975-10-26,WEA-0480,Azad Krishnan,43580505,CONSERVATIVE
Urvi Sahni,ULOCQ7993T,3946408303,sanichampak@example.org,Jorhat,1996-06-20,WEA-0483,Amol Thaker,14382463,AGGRESSIVE
Edhitha Korpal,CGDTQ4864I,6245618517,balbhavani@example.com,Tiruchirappalli,1998-11-22,WEA-0488,Janani Comar,30102780,AGGRESSIVE
Aishani Nath,NLZFO5129D,4881898484,osha15@example.com,Durgapur,1963-08-29,WEA-0489,Hredhaan Sood,16328891,CONSERVATIVE
Upasna Patel,KLJYP6814F,2291073228,raghav78@example.org,Chinsurah,1969-12-02,WEA-0490,Reyansh Wable,34865384,CONSERVATIVE
Shivani Iyer,KEOCI4764B,7638821458,netra01@example.net,New Delhi,2000-03-07,WEA-0494,Yash Wagle,41869419,CONSERVATIVE
Watika Wadhwa,XSXJA0205K,0732146449,gopal67@example.net,Sambalpur,1974-12-03,WEA-0495,Ishanvi Sinha,25019727,AGGRESSIVE
Avi Chatterjee,LKOVC9043U,3332470739,jeevikamistry@example.net,Jamnagar,1990-11-26,WEA-0498,Urvi Radhakrishnan,11008917,CONSERVATIVE
Onveer Prasad,GFWKN0826E,6163248889,tanveersen@example.com,Phagwara,1997-06-13,WEA-0499,Arya Mutti,20499633,MODERATE
Tanish Bahri,XIDFL3646H,0381876920,jonathankhosla@example.org,New Delhi,1984-05-08,WEA-0500,Harinakshi Vohra,24993257,MODERATE
Finn Butala,YIPXD3717Y,2556184442,fmani@example.net,Saharanpur,1968-05-14,WEA-0502,Yachana Basak,11696844,CONSERVATIVE
Ladli Singh,BCMDA0867Q,3655158482,keernitara@example.org,Sasaram,1970-08-29,WEA-0503,Kala Bawa,39181147,AGGRESSIVE
Abdul Lal,FPHMY4287T,8164321269,nikita42@example.org,Gurgaon,1993-12-02,WEA-0505,Jyoti Wadhwa,30047931,AGGRESSIVE
Tanish Chawla,CYSOY4417K,5402635582,singhalkrishna@example.com,Parbhani,1998-08-11,WEA-0506,Upkaar Chopra,32493447,MODERATE
Aadhya Bansal,AVCXO4288B,3766608112,christophervenkatesh@example.org,Pali,1978-02-20,WEA-0511,Avi Raju,41547395,AGGRESSIVE
Rishi Oommen,VHIAC4378N,5910157090,mannbhavika@example.net,Pune,1992-01-30,WEA-0513,Aadhya Gandhi,45101744,MODERATE
Osha Prashad,VURRW4899D,8428596932,ansh84@example.net,Akola,1999-10-26,WEA-0514,Qasim Kapoor,34045890,CONSERVATIVE
Ranveer Wadhwa,QMXRZ5951I,3948400273,yraman@example.org,Bhiwandi,1997-04-26,WEA-0517,Yahvi Jaggi,9269099,MODERATE
Finn Hans,EYHDN9500P,1491507628,ddhawan@example.net,Muzaffarnagar,1988-09-07,WEA-0518,Anay Tandon,34475823,CONSERVATIVE
Saanvi Manda,IUZWA6207Q,9250817760,lallarin@example.com,Jabalpur,2003-04-30,WEA-0519,Samaksh Setty,35113643,CONSERVATIVE
Gaurav Deo,WZGDI5523F,0321192061,kevin77@example.net,Gandhinagar,1965-12-20,WEA-0520,Sara Borde,26814272,MODERATE
Falan Atwal,ILGOM2179Q,2985797363,eiravatirege@example.org,Berhampur,1985-10-27,WEA-0522,Arin Tailor,24172259,AGGRESSIVE
Neha Dani,FPZHX7706Z,0506821223,ramaswamyjasmit@example.org,Panvel,2004-02-23,WEA-0523,Alka Ravel,8744715,MODERATE
Wazir Pillay,WYYUN0405V,9001248255,lsharma@example.com,Kolhapur,1976-03-02,WEA-0527,Quincy Koshy,46333783,AGGRESSIVE
Mahika Pingle,QYJUB5078N,7443034918,ksule@example.org,Nagaon,1997-04-15,WEA-0529,Warinder Luthra,42645190,MODERATE
Gabriel Patla,USDGU3641U,1325936781,chakradev09@example.com,Moradabad,1973-02-08,WEA-0530,Balendra Pandya,13985411,MODERATE
Tanmayi Rajagopal,HEJDM9819U,7045238885,priya60@example.com,Hospet,1984-05-06,WEA-0531,Chanchal Ganesh,3726917,MODERATE
Waida Nazareth,OVULB8548X,9428249116,baralbrijesh@example.org,Serampore,1988-10-04,WEA-0532,Elijah Khalsa,18113844,CONSERVATIVE
Brinda Sachdev,GVTKX2025S,1832812312,modygeorge@example.org,Bangalore,1999-08-06,WEA-0534,Ojasvi Lala,48491705,MODERATE
Chavvi Keer,KUPXS8823P,5844617773,anmolnatarajan@example.com,Gangtok,1996-04-22,WEA-0537,Jackson Gole,36601178,MODERATE
Reva Agate,EKDVP2927Q,8713752988,chaudharikrish@example.com,Meerut,1984-09-29,WEA-0538,Baljiwan Basu,17129472,AGGRESSIVE
Nicholas Kade,PKKXU9102L,0143748309,fsinghal@example.org,Tiruchirappalli,1987-06-02,WEA-0540,Maanav Rao,33668911,CONSERVATIVE
Rudra Kala,BYVNI0493A,7481242114,geetikaanand@example.net,Guntur,1967-03-29,WEA-0542,Keya Dave,46996763,MODERATE
Rishi Peri,ZNTQK5610M,2970137124,jeevika64@example.org,Indore,1972-01-18,WEA-0543,Nachiket Bal,5915592,CONSERVATIVE
Abhimanyu Kapadia,HBNXZ4030F,5649157955,zayansrinivasan@example.org,Chandrapur,1980-12-13,WEA-0545,Indrajit Basu,27139027,AGGRESSIVE
Jagat Varkey,ZVYAJ1030O,7641726808,sara12@example.net,Moradabad,2003-07-02,WEA-0546,Ubika Chad,1395870,AGGRESSIVE
Yashoda Basak,DDTOV6713F,4584743621,wgopal@example.net,Amroha,1979-05-17,WEA-0547,Zehaan Taneja,40299488,CONSERVATIVE
Deepa Narayanan,DCLFQ9011D,4004938819,zaid15@example.org,Rohtak,1987-07-02,WEA-0549,Chameli Taneja,37622949,MODERATE
Ishaan Sehgal,BQIBN0142D,8782116020,keerkala@example.net,Siliguri,2000-02-14,WEA-0551,Sai Bains,35396829,CONSERVATIVE
Gaurang Sampath,FJPPL1560F,8835651796,nmandal@example.com,Bongaigaon,1971-07-30,WEA-0554,Pushti Bal,31954983,AGGRESSIVE
Megha Srinivasan,KEBBN2879E,4131935923,vaishnavireddy@example.org,Gaya,2003-10-19,WEA-0556,Aachal Nagi,31242339,MODERATE
Nandini Natarajan,WTFJQ0254H,6503440966,vartyjonathan@example.net,Hindupur,1984-04-26,WEA-0557,Aarnav Rattan,22019488,CONSERVATIVE
Dipta Bawa,UMRLD1192R,5360511716,ajohal@example.com,Bulandshahr,2003-07-29,WEA-0559,Harish Varma,8303634,CONSERVATIVE
Falak Pradhan,ADBMP9067P,2489420466,fsankar@example.com,Khammam,1995-05-11,WEA-0560,Neel Atwal,10395352,AGGRESSIVE
Divya Sampath,IBKCY5775T,3389062354,omyanayar@example.net,Meerut,1965-05-28,WEA-0561,Idika Karnik,43387736,CONSERVATIVE
Aditya Sandal,JSLWZ2212C,7746259160,harish15@example.net,Deoghar,1995-09-12,WEA-0562,Darpan Ahuja,15278127,CONSERVATIVE
Hritik Som,TFJIM9867F,9957047264,indrajitgala@example.org,Dehri,1971-09-09,WEA-0563,Hema Kari,20528623,CONSERVATIVE
Hiral Raju,WOKXQ8078G,4218385454,dalaja54@example.net,Sonipat,1993-03-08,WEA-0564,Faraj Choudhury,27627801,MODERATE
Rishi Dube,WVUFR7489N,7763342720,egara@example.com,Ahmedabad,1989-06-16,WEA-0565,Ekalinga Ram,11685235,CONSERVATIVE
Yoshita Dubey,ELSIE9045G,7246301986,samarkara@example.net,Ujjain,1983-07-31,WEA-0568,Harshil Dora,22748044,CONSERVATIVE
Xalak Balan,LHGDT6293K,2210102320,bshenoy@example.com,Ranchi,2000-09-04,WEA-0569,Libni Dara,18670842,AGGRESSIVE
Tanvi Raval,VVLYC2054E,0066664110,chanaumang@example.com,Amroha,1984-06-19,WEA-0571,Mohini Luthra,44183010,MODERATE
Elijah Patla,LXDEK0596D,0932012657,lajitaaurora@example.com,Begusarai,1998-03-31,WEA-0573,Liam Bora,45366317,CONSERVATIVE
Gaurika Vala,ZTQUU9170X,2185457056,jonathanperi@example.com,Ramgarh,1961-06-06,WEA-0575,Dev Rastogi,43247742,AGGRESSIVE
Abeer Subramaniam,PSWDF1058H,0927115261,kbera@example.org,Varanasi,1962-01-29,WEA-0577,Qushi Murthy,49853529,AGGRESSIVE
Aayush Sule,YTJTU4189S,3298769893,arya71@example.com,Kottayam,2001-05-13,WEA-0578,Samaksh Mukhopadhyay,13206038,AGGRESSIVE
Ria Nori,FGWCT0740M,7980595031,tarak40@example.org,Delhi,1972-11-03,WEA-0583,Azad Kala,9984743,MODERATE
Chakradev Toor,ITONG9411O,9928553595,cbobal@example.org,Morbi,1985-09-08,WEA-0584,Anirudh Rao,13684985,CONSERVATIVE
Daniel Borah,QCXSP8677E,2339449530,wpurohit@example.org,Khammam,1960-12-27,WEA-0585,Ijaya Apte,40283528,MODERATE
Wakeeta Kala,ZLSGD6542I,2902923345,baraloviya@example.net,Raurkela Industrial Township,1971-05-20,WEA-0586,Yashvi Kulkarni,38894378,MODERATE
Akshay Doshi,COYIN1166A,5759887592,kmuni@example.com,Ahmednagar,2002-07-30,WEA-0587,Oni Gola,25844571,AGGRESSIVE
Oliver Setty,IBHFS3226J,3625854218,vchaudhari@example.net,Siliguri,1988-10-08,WEA-0595,Frado Rai,7050928,AGGRESSIVE
Thomas Iyer,USDLX8532Q,5833343031,bravi@example.com,Uluberia,1998-08-19,WEA-0596,Amruta Tata,24318658,MODERATE
Sudiksha Ratti,XPBXK9453E,6698616342,kala08@example.net,Chapra,1975-03-31,WEA-0597,Yashoda Chahal,18522628,CONSERVATIVE
Qasim Rastogi,KYZTC9255L,3074235914,charles48@example.net,Shahjahanpur,1995-07-06,WEA-0598,Ojasvi Dada,5857740,AGGRESSIVE
Patrick Sant,RPRFD8744H,3208652377,rratta@example.com,Maheshtala,1969-03-19,WEA-0600,Isaac Mallick,17325791,MODERATE
Utkarsh Gupta,ASXES8992S,5323661850,sharafchakradev@example.net,Pali,1987-05-08,WEA-0603,Yashasvi Dutt,39501202,MODERATE
Darpan Sood,KBKQA0204E,1212413936,cravi@example.net,Thrissur,1963-11-25,WEA-0608,Vritti Sule,34040403,AGGRESSIVE
Fariq Goyal,DVSKH2760I,8653394319,raghav08@example.net,South Dumdum,1970-11-23,WEA-0609,Chakradev Dutt,19808374,MODERATE
Ekapad Pandey,RSKOD0576Z,7000268764,trattan@example.net,Guntakal,1980-06-10,WEA-0610,Gaurav Saini,9606440,CONSERVATIVE
Lekha Palan,CBAPW6045U,7309649692,parmarlaksh@example.net,Rajahmundry,1974-10-06,WEA-0611,Kamala Shukla,47059406,CONSERVATIVE
Praneel Pillai,KDARN5128B,3159489895,odika63@example.com,Firozabad,1999-02-13,WEA-0612,Timothy Mohanty,42122841,MODERATE
Elijah Mody,MLPWM9169P,4974394640,udarshbatta@example.net,Orai,1979-02-13,WEA-0613,Tejas Walia,18639500,CONSERVATIVE
Advika Patel,SUZYO8434F,3885034236,robertmukherjee@example.com,South Dumdum,1972-04-19,WEA-0616,Hritik Bahl,32741621,CONSERVATIVE
Tarak Madan,SDEZL2028Z,1722240507,echaudry@example.net,Pondicherry,1996-12-05,WEA-0620,Hitesh Goswami,46606234,AGGRESSIVE
Chandresh Raju,CJYRE5838O,5812259095,aachal82@example.org,Kulti,1988-03-25,WEA-0621,Faraj Grewal,24830964,MODERATE
Kalpit Chad,DGCPS1018W,9017074039,isha29@example.com,Kumbakonam,1965-02-14,WEA-0622,Lucky Tailor,43364041,AGGRESSIVE
Yashoda Narayanan,ZKAXN0470R,8519537749,nathanielnadig@example.com,Agartala,1968-10-09,WEA-0624,Urvi Nagar,25371579,AGGRESSIVE
Dakshesh Kanda,VSVKT6660A,0532853863,narainpraneel@example.com,Bettiah,2000-03-13,WEA-0630,Isha Edwin,3359210,AGGRESSIVE
Dalaja Chopra,QGYKM0132O,1883527918,fsubramaniam@example.com,Varanasi,1979-03-23,WEA-0632,Oliver Ahuja,43671247,AGGRESSIVE
Dev Sarma,BJAJY9967M,4748599464,isaiah67@example.org,Berhampore,1983-06-21,WEA-0635,Samuel Rastogi,47155460,MODERATE
Harsh Parekh,SGJQX3056K,7846790870,oeshibanerjee@example.org,Kurnool,1979-06-15,WEA-0638,Champak Kashyap,35669114,AGGRESSIVE
Chakrika Mitter,CZERQ4299V,8652406221,isridhar@example.com,Mangalore,1968-09-27,WEA-0639,Jeet Anand,28709510,CONSERVATIVE
Krisha Sani,LKLYB4509S,1089857390,girishchada@example.net,Nagaon,1973-06-01,WEA-0646,Onkar Menon,32551016,CONSERVATIVE
Siya Bumb,HTQVZ7059G,3672868112,radha81@example.org,Phagwara,2004-01-09,WEA-0648,Fariq Maharaj,45695032,CONSERVATIVE
Samuel Rattan,NYWZI1587C,3589693353,ekanta61@example.com,Hospet,1989-12-03,WEA-0651,Gaurika Raju,27562245,CONSERVATIVE
Wriddhish Sura,YHGYS9255P,9028377270,aradhakrishnan@example.org,Kulti,1973-08-12,WEA-0652,Krishna Kumer,42516553,MODERATE
Ekapad Sachar,SDUON1019V,6405103880,lallaluke@example.com,Dhule,1979-03-19,WEA-0653,Adya Lad,48065334,AGGRESSIVE
Tanish Ravel,QGOTA4770M,9153860282,ojas04@example.org,Muzaffarpur,1999-12-28,WEA-0656,Ishani Seshadri,13735640,AGGRESSIVE
Krish Amble,DTSFS4410L,1932453810,hardik22@example.com,Bhopal,1986-06-24,WEA-0657,Matthew Ramakrishnan,37346560,MODERATE
Mohini Sen,CMVXY2020P,6219536890,bmunshi@example.org,Shimla,1971-05-06,WEA-0659,Advik Bal,44010334,MODERATE
Yamini Dugar,AURBL1398J,2123720550,bailandrew@example.net,Kulti,1995-07-16,WEA-0665,Sudiksha Khatri,25767777,AGGRESSIVE
Aayush Aggarwal,FHQHZ8899Z,0916923273,ybasu@example.org,Dewas,1984-07-16,WEA-0666,Pavani Srinivasan,16503355,AGGRESSIVE
Lipika Konda,LGRRO0009P,1137118151,forum82@example.net,Jalgaon,2003-06-09,WEA-0667,Abha Arora,42964853,CONSERVATIVE
Janani Jani,ABCUY5346K,4946672010,dewangavin@example.net,Durgapur,1989-05-08,WEA-0668,Bhavya Agarwal,8080936,AGGRESSIVE
Mahika Dhaliwal,EFQSU0858I,3536423570,girindradewan@example.net,Aligarh,1984-10-15,WEA-0669,Ekaraj Goda,45126217,CONSERVATIVE
Hiral Badami,DDMLO4610D,6600128382,gillsai@example.org,Coimbatore,1976-01-27,WEA-0670,Ayushman Lalla,17154617,AGGRESSIVE
Advay Tank,XUWQT6653Y,4227634601,abhimanyupau@example.com,Tirupati,1982-04-11,WEA-0671,Aashi Keer,49742059,CONSERVATIVE
Oviya Chacko,KUWGV7682R,7267086665,faraj97@example.com,Sasaram,1998-04-23,WEA-0672,Chaaya Solanki,10065448,MODERATE
Utkarsh Baria,ALZSJ7681A,5780024432,jairajraman@example.net,Yamunanagar,1987-02-22,WEA-0679,Indira Shah,4632465,MODERATE
Isaiah Yohannan,ISGEO3924B,4169105302,usoni@example.com,Ramagundam,1978-06-04,WEA-0681,Vihaan Narayan,15903914,MODERATE
Widisha Toor,JYOCW1554Q,2360244654,balhaarparmar@example.org,Kota,1961-11-02,WEA-0683,Darsh Tella,37785885,MODERATE
Jason Pathak,PWOEQ6478U,3175438027,tripti26@example.org,Phusro,1968-03-27,WEA-0684,Meera Wable,47833297,CONSERVATIVE
Niharika Balan,LROLD4886S,5340508927,narangshivani@example.com,Bangalore,1974-06-18,WEA-0686,Nisha Seshadri,46080215,MODERATE
Urvi Tella,WQKBE9775L,3842273627,parthdin@example.com,Aligarh,1994-02-22,WEA-0687,Kamala Suri,16669221,CONSERVATIVE
