name,pan_like_id,mobile,email,city,dob,source_customer_id,policy_type,sum_assured,premium
Lavanya Khosla,LTCHP1608E,1733739920,tanishsabharwal@example.org,Purnia,1995-10-23,INS-0536,HEALTH,6553183,81958
Reva Agate,EKDVP2927Q,8713752988,chaudharikrish@example.com,Meerut,1984-09-29,INS-0538,ULIP,1169029,183926
Vasatika Bhagat,KEOJF6159R,2990716690,baghyawatiwali@example.net,Tiruvottiyur,1974-09-09,INS-0544,TERM,4319259,72803
Yashoda Basak,DDTOV6713F,4584743621,wgopal@example.net,Amroha,1979-05-17,INS-0547,HEALTH,8936204,32822
Samarth Dara,QZXMM8053Z,7466621591,cbahl@example.org,Sambhal,1978-11-20,INS-0548,HEALTH,7842987,104985
Waida Kapur,CRHAY1379M,1661237407,virajghosh@example.com,South Dumdum,1969-11-30,INS-0550,ULIP,2567542,15950
Ishaan Sehgal,BQIBN0142D,8782116020,keerkala@example.net,Siliguri,2000-02-14,INS-0551,ULIP,7423193,174327
Sneha Vaidya,AJJVG4217Y,2593648820,mugdha88@example.org,Junagadh,1966-09-07,INS-0555,TERM,3812117,195208
Nandini Natarajan,WTFJQ0254H,6503440966,vartyjonathan@example.net,Hindupur,1984-04-26,INS-0557,HEALTH,5807189,117278
Aditya Sandal,JSLWZ2212C,7746259160,harish15@example.net,Deoghar,1995-09-12,INS-0562,ULIP,6637418,107891
Rishi Dube,WVUFR7489N,7763342720,egara@example.com,Ahmedabad,1989-06-16,INS-0565,ULIP,8611841,99056
Arya Kumar,BDINI4544X,7993781053,gthakkar@example.net,Siwan,1992-12-27,INS-0567,HEALTH,4426181,16221
Yoshita Dubey,ELSIE9045G,7246301986,samarkara@example.net,Ujjain,1983-07-31,INS-0568,TERM,1169489,175006
Xalak Balan,LHGDT6293K,2210102320,bshenoy@example.com,Ranchi,2000-09-04,INS-0569,ULIP,6819298,176357
Fiyaz Merchant,SDUPJ3561S,3198074682,rmutti@example.org,Delhi,1969-05-15,INS-0570,ENDOWMENT,6420646,95448
Jalsa Nayak,FDSTF8517Q,7469211882,bdevi@example.com,Ujjain,1966-11-01,INS-0574,ULIP,1223841,38524
Hema Rout,NIREL4072G,8954001788,fkhosla@example.org,Srinagar,1977-10-09,INS-0576,ULIP,9167792,111287
Abeer Subramaniam,PSWDF1058H,0927115261,kbera@example.org,Varanasi,1962-01-29,INS-0577,TERM,4133834,122755
Tanay Bobal,JWXJQ0450N,3217435748,dwagle@example.com,Bongaigaon,1979-10-17,INS-0579,TERM,4355635,104145
Nathaniel Jha,CIVXU9209G,7409131117,dharfalguni@example.com,Pali,1963-01-04,INS-0581,ENDOWMENT,2686555,163197
Om Bajwa,URSFR6953L,1227595002,indrajit53@example.net,Sri Ganganagar,2003-03-02,INS-0582,ENDOWMENT,6896087,96886
Daniel Borah,QCXSP8677E,2339449530,wpurohit@example.org,Khammam,1960-12-27,INS-0585,ULIP,7648295,175806
Lohit Shankar,EQDDB5582S,0711523802,gargekansh@example.com,Nagaon,1985-11-03,INS-0588,TERM,4098010,138259
Aayush Pau,XHGBN9161I,5881959772,bediharinakshi@example.org,Deoghar,1994-04-27,INS-0589,ULIP,7028076,171691
Arya Sur,VHEAX4328K,0202030423,iparmer@example.net,Latur,1977-01-16,INS-0591,TERM,1133429,194921
Benjamin De,DAQZM8165A,5937775691,ekavirbajaj@example.net,Khora ,1964-07-30,INS-0592,TERM,3884085,177198
Upasna Misra,LVHNH6902Y,4384196622,sainividhi@example.org,Ambarnath,1978-06-29,INS-0593,ULIP,3343451,181691
Thomas Iyer,USDLX8532Q,5833343031,bravi@example.com,Uluberia,1998-08-19,INS-0596,ULIP,3763591,124212
Edhitha More,AOQXD3079O,0081785221,jchanda@example.com,Sangli-Miraj & Kupwad,1969-11-01,INS-0599,HEALTH,9524521,155704
Chakradhar Parikh,BXUPH2781Q,0027221425,mbala@example.com,Chapra,1991-02-04,INS-0601,ULIP,4357587,87766
Teerth Rao,CMHMY8172N,5286209297,indira33@example.org,Saharanpur,1988-10-16,INS-0602,HEALTH,4665071,80311
Utkarsh Gupta,ASXES8992S,5323661850,sharafchakradev@example.net,Pali,1987-05-08,INS-0603,ULIP,8495273,87279
Lekha Palan,CBAPW6045U,7309649692,parmarlaksh@example.net,Rajahmundry,1974-10-06,INS-0611,ENDOWMENT,2519442,188040
Praneel Pillai,KDARN5128B,3159489895,odika63@example.com,Firozabad,1999-02-13,INS-0612,TERM,5959913,99791
Harish Krish,CIDSL2109H,0754853465,jeremiahbarad@example.org,Kalyan-Dombivli,1973-11-29,INS-0614,ULIP,7531212,188687
Daksha Raj,KDBJV1293W,2137565896,urishilla08@example.com,Chapra,1987-06-15,INS-0615,HEALTH,8061977,52156
Advika Patel,SUZYO8434F,3885034236,robertmukherjee@example.com,South Dumdum,1972-04-19,INS-0616,ENDOWMENT,6890162,56396
Champak Gade,BZVLC2894W,2332829302,nchokshi@example.org,Berhampur,1961-08-08,INS-0618,HEALTH,9931118,153854
Tarak Madan,SDEZL2028Z,1722240507,echaudry@example.net,Pondicherry,1996-12-05,INS-0620,ENDOWMENT,2534027,97036
Kalpit Chad,DGCPS1018W,9017074039,isha29@example.com,Kumbakonam,1965-02-14,INS-0622,ENDOWMENT,1696955,25738
Aachal Krish,KBXSJ3872J,6265496330,chaitaly47@example.org,Ambala,1997-08-15,INS-0623,ULIP,5759356,88067
Yashoda Narayanan,ZKAXN0470R,8519537749,nathanielnadig@example.com,Agartala,1968-10-09,INS-0624,ENDOWMENT,5050787,121627
Onveer Bhatia,SBKDW0768B,3283896337,ishaan86@example.org,Malda,1965-03-30,INS-0631,ENDOWMENT,9569497,76411
Dalaja Chopra,QGYKM0132O,1883527918,fsubramaniam@example.com,Varanasi,1979-03-23,INS-0632,HEALTH,8580774,146470
Irya Chandra,TNGLK2573K,5394607429,vaishnavi29@example.com,Gudivada,2004-02-16,INS-0634,ULIP,6269431,80173
Chakrika Mitter,CZERQ4299V,8652406221,isridhar@example.com,Mangalore,1968-09-27,INS-0639,TERM,3560284,40815
Sai Khatri,CGEGI8926L,5278730486,pratyush17@example.net,Alappuzha,1975-01-04,INS-0644,ENDOWMENT,5727389,135651
Aradhana Varkey,UDLXC8499K,7595828190,ushere@example.net,Durgapur,1973-10-20,INS-0647,ENDOWMENT,711652,36971
Advay Bajaj,CDKDX9921U,8669335158,nagarrobert@example.org,Jaipur,1993-06-19,INS-0649,TERM,4749882,131151
Jairaj Khosla,IIKET9103I,5136090858,manderfalak@example.org,Dewas,1969-12-20,INS-0650,TERM,4153880,34603
Sudiksha D’Alia,UYNBK8939A,6764909228,umadan@example.com,Patiala,1997-03-16,INS-0654,ULIP,858241,185682
Sudiksha Deshpande,MBPBZ7174J,1640343988,upmasavant@example.net,Anand,1970-06-03,INS-0655,HEALTH,1162507,132219
Krish Amble,DTSFS4410L,1932453810,hardik22@example.com,Bhopal,1986-06-24,INS-0657,ENDOWMENT,5460564,74035
Yasti Kashyap,HKCFS7819N,1640069836,victor48@example.com,Gopalpur,1980-05-23,INS-0664,ULIP,8744416,25960
Aayush Aggarwal,FHQHZ8899Z,0916923273,ybasu@example.org,Dewas,1984-07-16,INS-0666,TERM,2198275,195099
Janani Jani,ABCUY5346K,4946672010,dewangavin@example.net,Durgapur,1989-05-08,INS-0668,ULIP,3526551,149170
Mahika Dhaliwal,EFQSU0858I,3536423570,girindradewan@example.net,Aligarh,1984-10-15,INS-0669,ENDOWMENT,6411017,87615
Hiral Badami,DDMLO4610D,6600128382,gillsai@example.org,Coimbatore,1976-01-27,INS-0670,ENDOWMENT,5926605,164491
Advay Tank,XUWQT6653Y,4227634601,abhimanyupau@example.com,Tirupati,1982-04-11,INS-0671,ENDOWMENT,7162074,5051
Faris Dutta,ACAGZ9035G,8974223543,jradhakrishnan@example.org,Saharanpur,1964-06-16,INS-0673,ULIP,4104128,87550
Zayyan Parekh,YLBZQ2549S,4111973881,aarnavsanghvi@example.org,Kamarhati,1975-06-24,INS-0674,ULIP,2081875,14892
Xiti Thakkar,RLZAI2188B,6405110212,fitan23@example.org,Rewa,1962-11-16,INS-0675,ULIP,4945763,101228
Aayush Khatri,YDDMK7218D,1978999011,chamelisoman@example.org,Aligarh,1993-08-23,INS-0676,ENDOWMENT,4147992,197483
Mitali Sodhi,EBNSH0675P,2150164261,rudrapatla@example.org,Sangli-Miraj & Kupwad,1973-01-17,INS-0680,HEALTH,8928900,187915
Urvi Tella,WQKBE9775L,3842273627,parthdin@example.com,Aligarh,1994-02-22,INS-0687,ULIP,7889750,16764
Jai Swamy,XSKNI1620X,4486983052,johalpraneel@example.org,Bokaro,1993-07-01,INS-0688,TERM,1414996,68713
Krisha Kapur,RYCBP1729J,8390654025,ikbal93@example.net,Warangal,1980-12-18,INS-0690,ULIP,808508,103725
Wakeeta Gole,HYOWP8129D,9602667652,ishani39@example.com,Dharmavaram,1977-01-27,INS-0691,TERM,1617325,106880
Aadi Tiwari,AVFXW8640A,2080192902,wazir90@example.com,Hosur,1985-10-27,INS-0692,ENDOWMENT,4378365,104798
Umang Ghose,NLAKP2533W,0255501935,nidhithaman@example.net,Dhule,1988-01-30,INS-0693,ULIP,8899526,125058
Reyansh Gaba,LBIAZ4362I,5983124412,maya59@example.net,Pimpri-Chinchwad,1965-10-27,INS-0694,ULIP,808234,95906
Watika Ratti,TLXRK3177E,6294193759,meghanasekhon@example.org,Salem,1981-10-29,INS-0695,ULIP,8909604,77319
